pageid,page_dim,text,object_type,height,width,x0,x1,y0,y1
1,2550x3300,viewers.,word,18,88,1305,1393,155,173
1,2550x3300,This,word,18,48,42,90,123,141
1,2550x3300,station,word,19,74,97,171,122,141
1,2550x3300,does,word,19,52,180,232,122,141
1,2550x3300,not,word,18,33,241,274,123,141
1,2550x3300,discriminate,word,19,132,283,415,122,141
1,2550x3300,in,word,20,18,424,442,123,143
1,2550x3300,advertising,word,24,120,450,570,119,143
1,2550x3300,contracts,word,18,100,579,679,123,141
1,2550x3300,on,word,15,27,687,714,123,138
1,2550x3300,the,word,20,35,721,756,123,143
1,2550x3300,basis,word,20,57,765,822,123,143
1,2550x3300,of,word,20,21,831,852,123,143
1,2550x3300,race,word,13,48,858,906,125,138
1,2550x3300,or,word,15,23,913,936,123,138
1,2550x3300,ethnicity.,word,24,98,943,1041,120,144
1,2550x3300,Any,word,23,43,1056,1099,120,143
1,2550x3300,provision,word,24,99,1108,1207,120,144
1,2550x3300,in,word,19,18,1216,1234,125,144
1,2550x3300,any,word,20,39,1243,1282,120,140
1,2550x3300,order,word,19,58,1290,1348,125,144
1,2550x3300,or,word,15,22,1356,1378,125,140
1,2550x3300,agreement,word,23,117,1386,1503,120,143
1,2550x3300,for,word,19,30,1509,1539,125,144
1,2550x3300,advertising,word,24,120,1546,1666,120,144
1,2550x3300,that,word,18,42,1675,1717,126,144
1,2550x3300,purports,word,24,91,1725,1816,120,144
1,2550x3300,to,word,19,20,1825,1845,125,144
1,2550x3300,discriminate,word,20,132,1854,1986,126,146
1,2550x3300,on,word,15,27,1993,2020,126,141
1,2550x3300,the,word,20,33,2028,2061,126,146
1,2550x3300,basis,word,20,57,2070,2127,126,146
1,2550x3300,of,word,18,21,2134,2155,128,146
1,2550x3300,race,word,13,46,2163,2209,128,141
1,2550x3300,or,word,13,21,2218,2239,128,141
1,2550x3300,"ethnicity,",word,24,94,2247,2341,123,147
1,2550x3300,even,word,15,52,2352,2404,128,143
1,2550x3300,it,word,18,14,727,741,95,113
1,2550x3300,"handwritten,",word,22,132,748,880,92,114
1,2550x3300,typed,word,24,60,891,951,90,114
1,2550x3300,or,word,15,22,960,982,95,110
1,2550x3300,otherwise,word,19,107,988,1095,95,114
1,2550x3300,made,word,19,60,1104,1164,95,114
1,2550x3300,a,word,14,12,1173,1185,96,110
1,2550x3300,part,word,24,42,1194,1236,90,114
1,2550x3300,of,word,19,23,1243,1266,95,114
1,2550x3300,a,word,14,12,1272,1284,96,110
1,2550x3300,particular,word,26,103,1293,1396,90,116
1,2550x3300,contract.,word,22,91,1404,1495,92,114
1,2550x3300,is,word,20,16,1506,1522,96,116
1,2550x3300,hereby,word,24,75,1531,1606,92,116
1,2550x3300,rejected.,word,24,94,1614,1708,92,116
